id,indicador,geo_type,geo_id,geo_nombre,sexo,year,valor
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11022,Ocampo,Mujeres,2024,6.15552971752958
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11022,Ocampo,Total,2024,6.726854310497433
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11023,Pénjamo,Hombres,2024,16.348701992168444
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11023,Pénjamo,Mujeres,2024,13.634315794465651
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11023,Pénjamo,Total,2024,14.919503349085167
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11024,Pueblo Nuevo,Hombres,2024,19.52807160292921
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11024,Pueblo Nuevo,Mujeres,2024,22.18278615794144
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11024,Pueblo Nuevo,Total,2024,20.91888122724103
36,Mortalidad por diabetes mellitus por cada 100 mil habitantes,mun,11012,Cuerámaro,Mujeres,2020,172.573189522342
36,Mortalidad por diabetes mellitus por cada 100 mil habitantes,mun,11036,Santiago Maravatío,Mujeres,2020,141.602945341263
36,Mortalidad por diabetes mellitus por cada 100 mil habitantes,mun,11043,Victoria,Mujeres,2020,174.428745857317
36,Mortalidad por diabetes mellitus por cada 100 mil habitantes,mun,11046,Yuriria,Mujeres,2020,137.976709531431
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11025,Purísima del Rincón,Hombres,2024,6.858240175570948
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11025,Purísima del Rincón,Mujeres,2024,9.439899307740719
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11025,Purísima del Rincón,Total,2024,8.160027200090667
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11026,Romita,Hombres,2024,9.917162524792909
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11026,Romita,Mujeres,2024,10.71932299012694
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11026,Romita,Total,2024,10.32494909226489
36,Mortalidad por diabetes mellitus por cada 100 mil habitantes,mun,11003,Allende,Mujeres,2022,89.926108908102
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11027,Salamanca,Hombres,2024,15.830738642758
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11027,Salamanca,Mujeres,2024,15.23042153876388
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11027,Salamanca,Total,2024,15.520573826075289
36,Mortalidad por diabetes mellitus por cada 100 mil habitantes,mun,11027,Salamanca,Mujeres,2022,119.436540555731
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11028,Salvatierra,Hombres,2024,18.71265922669372
36,Mortalidad por diabetes mellitus por cada 100 mil habitantes,mun,11034,Santa Catarina,Mujeres,2022,126.502213788741
36,Mortalidad por diabetes mellitus por cada 100 mil habitantes,mun,11041,Uriangato,Mujeres,2022,112.595002032965
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11028,Salvatierra,Mujeres,2024,22.37858107699441
36,Mortalidad por diabetes mellitus por cada 100 mil habitantes,mun,11008,Manuel Doblado,Mujeres,2023,84.0224649537876
36,Mortalidad por diabetes mellitus por cada 100 mil habitantes,mun,11014,Dolores Hidalgo,Mujeres,2023,89.4474137550245
36,Mortalidad por diabetes mellitus por cada 100 mil habitantes,mun,11016,Huanímaro,Mujeres,2023,143.523501973448
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11028,Salvatierra,Total,2024,20.647962876239944
36,Mortalidad por diabetes mellitus por cada 100 mil habitantes,mun,11028,Salvatierra,Mujeres,2023,237.486666532493
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11029,San Diego de la Unión,Hombres,2024,15.146160448326349
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11029,San Diego de la Unión,Mujeres,2024,11.065374230956492
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11029,San Diego de la Unión,Total,2024,12.971698113207546
36,Mortalidad por diabetes mellitus por cada 100 mil habitantes,mun,11046,Yuriria,Mujeres,2023,130.186693257991
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11030,San Felipe,Hombres,2024,5.160957357589833
