CVE_COL,ID_COL,COLONIA,CP,CLASIF,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,SUN_2018,NOM_SUN,POB_TOT,P6A14NAE,SBASC,PSDSS,OVSDE,OVSEE,OVSAE,OVPT,OVHAC,OVSREF,OVSINT,OVSCEL,IM_2020,GM_2020,IMN_2020,ENTIDAD,fn_COLONIA,NOM_ENT_etq,marginacion_z
11003_0021,21160.0,El Capricho,37765,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,29.1915168762207,7.9365079243798,2.06060602609271,45.4931086154754,0.0,0.0,0.0,0.42598507761038,2.98189546637718,0.0,3.0883918062673,0.638977629231482,151.317875571409,Bajo,0.964742325651467,Guanajuato,,Guanajuato,0.7580890454259736
11003_0022,21161.0,El Chorro,0,Barrio,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,75.9544239044189,5.9338887353925,22.0071880134328,27.4352596129325,0.0,0.0292124659477897,0.0155799815114888,1.36406960942488,12.4141954314053,2.3030439723377,18.0804457919633,7.81748677876524,150.526342522308,Bajo,0.959695827134777,Guanajuato,,Guanajuato,0.5273873443319052
11003_0023,21162.0,El deportivo,37700,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,28.9322738647461,5.07246400010029,24.3983696797519,44.9600936149963,0.0,0.0,0.0,0.13554726798587,16.9095222426457,1.49101994784457,12.3009148947436,2.74483220626168,149.722395216454,Medio,0.954570180276325,Guanajuato,,Guanajuato,0.2930673607744708
11003_0024,21163.0,El deseo,37700,Unidad habitacional,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,146.10578918457,5.07246393736188,24.3983700199499,44.9600916214717,0.0,0.0,0.0,0.135547275803057,16.9095228465934,1.49102004553591,12.3009152118393,2.74483227357494,149.722395321375,Medio,0.954570180945254,Guanajuato,,Guanajuato,0.29306739135493726
11003_0025,21169.0,El Milagro,37765,Zona militar,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,24.4401702880859,0.0,0.0,10.2564099812638,0.0,0.0,0.0,0.0,10.2564099812638,0.0,0.0,0.0,155.761450979133,Muy bajo,0.993072787316139,Guanajuato,,Guanajuato,2.0532218344687485
11003_0026,21170.0,El Oasis,37732,Residencial,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,34.3959770202637,6.83760683760684,28.6917738298394,21.8869369237979,0.0,0.193423602180223,0.116054161308134,2.20502902094557,16.2862679622092,2.08897499136434,18.3365581014106,8.04642185069727,149.925220803755,Bajo,0.95586331519548,Guanajuato,,Guanajuato,0.3521832853323755
11003_0027,21171.0,El Obraje,37725,Colonia,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,448.542763710022,8.47946621569434,26.0913668207989,31.0953197166668,0.0,0.0440628650686075,0.0,1.21422332150917,16.9254089106124,2.19470306947717,18.6599289929189,9.98409950823509,149.107048467932,Medio,0.950646975228605,Guanajuato,,Guanajuato,0.11371724796747325
11003_0028,21172.0,El Paraiso,37700,Residencial,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,578.928712844849,8.04912435572739,25.8285397290938,34.7103933476048,0.0,0.0312421957909912,0.0,1.53543268382407,10.6607234984536,1.42487252599321,15.4730198055869,8.46535116008712,149.303249183776,Medio,0.951897872613885,Guanajuato,,Guanajuato,0.17090227511509692
11003_0029,21173.0,El Parque,37700,Villa,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,61.8894004821777,5.85106344339859,21.5042742436351,26.0366705118086,0.0,0.0,0.0,1.24223598652824,11.3212872693467,2.2021457702108,17.221908976475,7.84867310438085,150.763911614175,Bajo,0.961210472759594,Guanajuato,,Guanajuato,0.5966296756323309
11003_0030,21175.0,El Piche,38880,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030244.0,Los Rodríguez,,,107.184844970703,10.0000001394401,40.2758616754162,27.3726278218689,0.30395137727117,0.354609921312806,0.60790275454234,2.07700109685655,24.2654512985879,8.15602864227995,64.1843962097033,13.3738601478461,146.311155731818,Alto,0.932821480056111,Guanajuato,,Guanajuato,-0.7011788716963248
11003_0031,21177.0,El Secreto,37765,Zona militar,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,30.3137642145157,0.839746539232851,0.924249544096625,13.3362004440655,0.0,0.0,0.0,0.0711648919187743,10.552474171835,0.0770953036915598,1.06154304721014,0.290589997955877,155.225893533511,Muy bajo,0.989658286989209,Guanajuato,,Guanajuato,1.8971272609333532
11003_0032,21178.0,El Suspiro,37765,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,45.6617469787598,11.0169487421122,16.5374680991791,63.9834865585009,0.0,0.0,0.0,1.29449841089669,15.6418548642645,1.40237318506436,19.3095999881769,5.28586813753328,147.17687615369,Alto,0.938340967624959,Guanajuato,,Guanajuato,-0.4488543803505919
11003_0033,21179.0,Emiliano Zapata,37700,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,84.3247222900391,3.28282821250242,27.2412077988472,42.3652693735117,0.0,0.788584304141133,0.037551634168042,3.15433721656453,20.3154338216183,4.50619606446438,22.7562900827043,6.04581299841535,148.700995330563,Medio,0.948058142636264,Guanajuato,,Guanajuato,-0.004631757967290658
11003_0034,21180.0,Estacion Ffcc,37755,Colonia,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,1341.43255132437,5.46080718227569,32.4117397478378,40.7864209914434,0.0031966726220468,0.488753684601447,1.33828024884286,4.71937935759593,25.5895113407517,5.69149780314184,27.9616798731899,7.34744233153981,147.481228062755,Medio,0.940281393813594,Guanajuato,,Guanajuato,-0.36014740439769194
11003_0035,21189.0,Fraccionamiento La Luz,37747,Residencial,11,Guanajuato,11003,San Miguel de Allende,,,,,414.683441162109,2.99401195871865,21.1775043100789,46.9664522108539,0.0,0.0,0.0,0.214745872852171,13.0994986475936,0.214745872852171,13.3858264011848,11.8110232951631,149.812666618913,Medio,0.955145714676467,Guanajuato,,Guanajuato,0.3193780323643571
11003_0036,21194.0,Guadalupe,37710,Colonia,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,1464.15281867981,7.55244173802402,24.3995225073034,38.762912687181,0.073099811069921,0.0076593291862138,0.073099811069921,1.3560854118122,12.5578364443541,1.69223258494032,14.2696733254445,9.17764696099962,149.10126201084,Medio,0.950610083089785,Guanajuato,,Guanajuato,0.11203071637419548
11003_0037,21195.0,Guadalupe-Mexiquito,37717,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,125.454360961914,6.74486844553471,21.8791344514875,30.6770091922161,0.0,0.107719937240725,0.0,0.323159787523117,14.2549375064892,1.11310593749063,20.3231603634607,7.39676828175864,150.180515296111,Bajo,0.957490970892812,Guanajuato,,Guanajuato,0.4265918949708107
11003_0038,21198.0,Guadiana,37770,Colonia,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,304.928422927856,5.95547478465347,22.1450229244137,27.8150850301668,0.0,0.0371481526234334,0.0198123476581291,1.39716610092395,12.7110868914455,2.33045324225791,18.3136695766712,7.80901457827817,150.461936930844,Bajo,0.959285202812572,Guanajuato,,Guanajuato,0.508615570332585
11003_0039,21199.0,Guadiana,37760,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,314.166342735291,5.34311660258952,22.388728876839,28.9895218861318,0.0,0.113372888953137,0.007972312720526,1.46412757255392,12.8171363044108,2.54494491582601,17.9582795733599,7.57112780132253,150.450635279997,Bajo,0.959213148001596,Guanajuato,,Guanajuato,0.5053215700649575
11003_0040,21200.0,Guanajuatito,37737,Colonia,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,527.394134521484,9.22183045390105,33.7154820226276,41.8586123502887,0.188658939713688,0.464834479626592,6.14044591234291,11.9773025660368,32.7441578242431,5.71014454050072,33.0829029554523,7.17069449669845,144.849608383391,Alto,0.923503238026566,Guanajuato,,Guanajuato,-1.127164192075046
11003_0041,21202.0,Hacienda Las Brisas,37700,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,963.146585702896,4.26343322901767,13.3151155618752,37.085949372302,0.0,0.0,0.108177762257596,0.326102111571352,7.84305154577225,1.01687094789323,13.9013977481474,5.02180124633197,151.369241447483,Bajo,0.965069813957495,Guanajuato,,Guanajuato,0.7730602396192189
11003_0042,21203.0,Ignacio Ramirez,37700,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,1030.53942370415,5.01478356381068,24.2846819926379,45.0018384413414,0.0,0.0002391129859265,0.0,0.137697490529345,16.7746518118678,1.45173019682863,12.3223474906607,3.02042887325562,149.727051956606,Medio,0.954599869791241,Guanajuato,,Guanajuato,0.2944246229580774
11003_0043,21204.0,Independencia,37732,Colonia,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,1312.089957105,6.28915620349386,29.3950210880375,26.6422942025274,0.0044746343652611,0.16184840220127,0.182780053034408,2.18165410605243,17.3509088558628,2.16112036337642,18.7860288454199,7.37613201592373,149.667084776743,Medio,0.954217543008333,Guanajuato,,Guanajuato,0.27694647669504646
11003_0044,21205.0,Infonavit Allende,37716,Colonia,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,49.5808372497559,6.74486811878203,21.8791355675908,30.6770105773324,0.0,0.107719924633236,0.0,0.32315976624585,14.2549362262462,1.11310589553063,20.3231594355992,7.39676829591831,150.180515252837,Bajo,0.957490970616914,Guanajuato,,Guanajuato,0.4265918823580941
11003_0045,21206.0,Infonavit La Luz,37746,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,295.966785430908,3.34614314260493,20.8462680858713,44.067562631916,0.0,0.0,0.0058717194075848,0.236576745243094,12.945636319707,0.541906169583461,12.4527318578635,9.98191375891044,150.091886451061,Bajo,0.956925908782532,Guanajuato,,Guanajuato,0.4007599662316846
11003_0046,21207.0,Infonavit Malanquin,37755,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,889.428539946675,4.254983475273,13.3633657668205,37.0561228331309,0.0,0.0002053517845713,0.108559138770552,0.326469480779479,7.86426419620322,1.02153737964287,13.9436634924885,5.03826455501825,151.36731091957,Bajo,0.965057505682736,Guanajuato,,Guanajuato,0.7724975643474215
