municipio_obs,geo_id,camas_x100k_2024,enfermeras_x100k_2024,mort_diab_hta_2024,mort_diabetes_2021,mort_diabetes_2024,camas_x100k_2023,mort_diabetes_2020,pobreza_pct_2020,mort_diab_hta_2023,mort_diab_hta_2022,mort_diab_hta_2020,carencia_salud_pct_2020,idx_marginacion_2020,camas_x100k_2022,mort_diab_hta_2021,camas_x100k_2021,mort_diabetes_2023,idx_rezago_2020,mort_diabetes_2022,camas_x100k_2020,enfermeras_x100k_2023,enfermeras_x100k_2021,enfermeras_x100k_2022,enfermeras_x100k_2020
San José Iturbide,11032,30.6416358547995,179.76426368149,5.821910812411906,77.55277897457991,46.9838416440259,31.19248884868524,73.30656367276819,24.2425907719,7.902097175000261,6.248345247550967,8.862435309692879,28.17717918,57.2411850613912,31.77124702144559,9.263248599741493,32.31365790607497,62.384977697370495,-0.930426,47.6568705321684,32.82383448034399,207.949925657902,216.501507970702,212.867355043685,203.507773778133
San Luis de la Paz,11033,52.8626598728359,241.552987474486,9.61806728241876,122.903247832123,71.2177501064595,53.45013176942207,123.998254839376,51.1327299329,9.502245647897256,8.787016244714648,13.54795747319112,28.44417329,55.0984879479621,51.82086503293254,12.9731206045019,52.34767963220065,69.7821164767455,-0.402081,78.10681106413021,52.81407150566029,262.054118258417,264.773046255624,268.116649518216,267.897464159146
Santa Catarina,11034,0.0,322.476620445018,8.061915511125443,67.6361176868448,80.6191551112544,0.0,85.7485851483451,47.1809352518,6.557377049180328,11.66277907364212,8.574858514834505,6.798561151,53.463378937803,0.0,10.14541765302672,0.0,49.180327868852494,-0.003255,99.9666777740753,0.0,393.44262295082,439.634764964491,416.527824058647,480.192076830732
Santa Cruz de Juventino Rosas,11035,23.0593718141657,129.860672848197,9.345113840477694,115.679375331373,82.5282780717511,23.00659926136708,131.975188664531,60.1925653551,12.108736453351092,9.912480054155989,14.75722564157938,29.42655034,56.1745084950172,22.96794158889802,12.77293102617246,22.89487636766762,106.55688078949,-0.594873,83.4098931386297,22.79571440569173,142.883090149543,136.164264712971,134.181132440404,127.176090894912
Santiago Maravatío,11036,0.0,340.993328391401,25.20385470719051,191.995273962487,237.212750185322,0.0,220.685596586729,53.9447824764,28.127313101406365,32.56846780162842,32.36722083272031,9.872223912,55.6898140782752,0.0,22.15330084182543,0.0,236.861584011843,-0.735575,281.273131014064,0.0,325.684678016284,369.221680697091,340.488527017024,367.809327644549
Silao,11037,43.5310559717735,198.868192544734,8.477100373450638,111.709440879927,71.9407977638784,44.13452202312649,85.4923781371356,43.2834822102,7.247353090113402,9.472374597070631,9.611854943101685,14.07594586,56.9524941709445,44.76992968764727,13.17598533455545,45.35212343415827,62.71747866444289,-0.780484,86.2410224509416,34.77656059815684,219.743462283567,211.961503208066,221.022073931648,206.244324658513
Tarandacuao,11038,0.0,259.461393933972,10.736333542095371,264.924055104203,89.4694461841281,0.0,166.754432157276,50.8071674708,19.60260179987525,24.86236902859173,16.67544321572758,24.70243368,56.6384969619746,0.0,30.90780642882374,0.0,178.205470907957,-0.746019,230.864855265495,0.0,320.769847634322,282.585658777817,310.779612857397,280.849569949096
Tarimoro,11039,21.2184706787258,214.837015622099,13.526775057687717,201.568969274352,114.049279898151,21.40983782047851,202.939885914875,49.947897717,14.986886474334955,18.6410914494124,22.21369021500658,12.99378191,56.1138010965813,21.61285965149264,22.33602091959032,21.79123992155154,115.077878285072,-0.627255,159.394839929758,21.93944712593243,219.450837659905,212.464589235128,221.5318114278,200.197455024133
Tierra Blanca,11040,0.0,136.863466893199,7.551087828590306,117.033208172819,66.0720185001652,0.0,113.138865659895,54.0475949598,5.7246445949813936,11.10145766965924,12.29770278911899,26.21921481,52.5499917148746,0.0,13.16623591944214,0.0,47.705371624845,0.325468,91.7076937928371,0.0,143.116114874535,146.291510216024,144.801621778164,147.572433469428
Uriangato,11041,98.5043752360001,297.154865295267,14.11896045049334,144.036251820683,123.130469045,98.05363533853016,117.355797054852,55.3282072222,11.276168063930967,12.85681736809556,13.66471609542795,27.00054287,57.7259982373562,97.64671418806756,16.18384851917786,97.10309111506716,98.0536353385302,-0.830709,117.176057025681,96.45681949713844,328.479678384076,325.295355235475,328.743937766494,321.522731657128
Valle de Santiago,11042,19.418732604052,172.826720176063,17.47685934364684,152.577778650898,161.175480613632,19.49634443541836,143.673447965938,46.9989815063,15.402112103980503,14.55822637715599,15.81063970766718,24.06461707,56.2909819677847,19.58505790648788,16.82939446921923,19.64520755161778,141.023558082859,-0.676837,133.831229027667,19.68129424190935,185.215272136474,188.593992495531,189.322226429383,192.876683570712
Victoria,11043,0.0,127.510360216768,9.563277016257569,106.215941627413,81.97094585363631,0.0,152.806075199111,49.6300207977,5.948295584534432,13.34314898316003,16.20670494536025,18.42769753,53.004785386498,0.0,12.46882793017456,0.0,54.907343857240896,0.091415,119.628232262814,0.0,160.146419583619,166.251039068994,161.038004969173,148.175588071865
Villagrán,11044,21.4629120879121,135.931776556777,12.44848901098901,124.139154080336,103.021978021978,21.69762194063531,147.598175149835,36.9578894535,13.163223977318752,12.58248108970138,16.3997972388705,21.24033144,57.7476757905276,21.94618794715358,13.44840835870304,22.16770608577425,115.720650350055,-0.995057,106.804781342814,22.36335987118705,151.883353584447,162.563177962344,158.012553219506,125.234815278647
Xichú,11045,0.0,232.954036376669,15.231610070782189,89.1821992330331,80.6379356688469,0.0,142.159040426477,61.3794007058,8.94934669769107,9.830205540661304,17.76988005330964,6.58507724899999,51.4984381356938,0.0,14.26915187728529,0.0,62.6454268838375,0.44792,71.4924039320822,0.0,241.632360837659,267.546597699099,241.286863270778,248.778320746335
